"No.","Time","Source","Destination","Protocol","Length","Info"
"92","105.078378","131.243.2.12","73.6.91.115","TCP","62","21  >  2027 [SYN, ACK] Seq=364762561 Ack=4190971402 Win=64240 Len=0 SACK_PERM=1 MSS=1460"
"93","105.259752","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971402 Ack=364762562 Win=17520 Len=0"
"94","105.292565","131.243.2.12","73.6.91.115","FTP","137","Response: 220 <domain> FTP server (Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001) ready."
"95","105.474010","73.6.91.115","131.243.2.12","FTP","70","Request: USER anonymous"
"96","105.474218","131.243.2.12","73.6.91.115","TCP","54","21  >  2027 [ACK] Seq=364762645 Ack=4190971418 Win=64240 Len=0"
"97","105.476856","131.243.2.12","73.6.91.115","FTP","122","Response: 331 Guest login ok, send your complete e-mail address as password."
"98","105.672152","73.6.91.115","131.243.2.12","FTP","71","Request: PASS <password>"
"99","105.675783","131.243.2.12","73.6.91.115","FTP","120","Response: 230-The Lawrence Berkeley National Laboratory is operated by the"
"100","106.014013","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971435 Ack=364762779 Win=17297 Len=0"
"101","106.014472","131.243.2.12","73.6.91.115","FTP","1495","Response: 230-University of California for the United States Department of"
"102","106.212236","73.6.91.115","131.243.2.12","FTP","60","Request: STAT"
"103","106.212519","131.243.2.12","73.6.91.115","FTP","87","Response: 211-<domain> FTP server status:"
"104","106.536395","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971441 Ack=364764253 Win=17481 Len=0"
"105","106.536648","131.243.2.12","73.6.91.115","FTP","545","Response:      Version wu-2.6.2(1) Fri Nov 30 16:58:35 PST 2001"
"106","106.886185","73.6.91.115","131.243.2.12","FTP","80","Request: PORT 73,6,91,115,150,106"
"107","106.886485","131.243.2.12","73.6.91.115","FTP","84","Response: 200 PORT command successful."
"108","107.270212","73.6.91.115","131.243.2.12","TCP","54","2027  >  21 [ACK] Seq=4190971467 Ack=364764774 Win=16942 Len=0"
"109","107.333480","142.164.6.70","131.243.1.10","FTP","69","Request: CWD bpf.tar.Z"
"110","107.334099","131.243.1.10","142.164.6.70","TCP","54","21  >  1313 [ACK] Seq=1166104803 Ack=1734984753 Win=17505 Len=0"
"111","107.335947","131.243.1.10","142.164.6.70","FTP","86","Response: 550 bpf.tar.Z: Not a directory"
"112","107.365193","142.164.6.70","131.243.1.10","TCP","54","1313  >  21 [ACK] Seq=1734984753 Ack=1166104835 Win=8261 Len=0"
